CODIGO;TIPO;CLASE;CAT;NOMBRE;MUNICIPIO;CORRIENTE;DEPARTAMENTO;ALTITUD;COD_DEP;COD_MUNI;LONGITUD;LATITUD;ESTADO
48015010;CON;MET;SP;Apto Vasquez Cobo;Leticia;Amazonas;Amazonas;84;91;91001;-69.9409167;-4.1938611;ACT
23085030;CON;MET;CO;Alejandria;Alejandria;Nare;Antioquia;1660;05;05021;-75.1433889;6.3762778;ACT
12015020;CON;MET;AM;Uniban;Apartado;Zungo;Antioquia;23;05;05045;-76.6513889;7.8261111;ACT
12045010;CON;MET;CP;Arboletes;Arboletes;Qda Seca;Antioquia;4;05;05051;-76.4227222;8.8466389;ACT
27015090;CON;MET;CO;Tulio Ospina;Bello;Medellin;Antioquia;1438;05;05088;-75.5525000;6.3211111;ACT
11115020;CON;MET;CO;Canasgordas;Canasgordas;Canasgordas;Antioquia;1200;05;05138;-76.0297222;6.7580556;ACT
27015260;CON;MET;AM;Salada La;Caldas;Medellin;Antioquia;1680;05;05129;-75.6246944;6.0483611;ACT
12015070;CON;MET;SP;Apto Los Cedros;Carepa;Vijagual;Antioquia;19;05;05147;-76.7178333;7.8166667;ACT
26195030;CON;MET;CO;Jardin El;Jardin;San Juan;Antioquia;2005;05;05364;-75.8005556;5.5877222;ACT
26185020;CON;MET;CO;Mesopotamia;La Union;Buey;Antioquia;2314;05;05400;-75.3186389;5.8863611;ACT
27015070;CON;MET;SP;Apto Olaya Herrera;Medellin;Medellin;Antioquia;1490;05;05001;-75.5889722;6.2206111;ACT
23085110;CON;MET;CO;Penol El;Peol;Rionegro;Antioquia;1956;05;05541;-75.2413333;6.2142500;ACT
23085200;CON;MET;SP;Apto J M Cordova;Rionegro;Rionegro;Antioquia;2073;05;05615;-75.4258889;6.1686389;ACT
23085140;CON;MET;CO;San Francisco;San Francisco;Calderas;Antioquia;1306;05;05652;-75.1007778;5.9636667;ACT
23085080;CON;MET;CP;Nus Gja Exp El;San Roque;Nus;Antioquia;835;05;05670;-74.8366667;6.4858333;ACT
27015110;CON;MET;CO;Aragon;Santa Rosa de Osos;Grande;Antioquia;2600;05;05686;-75.8270000;6.5340000;ACT
26175030;CON;MET;CP;Nacional Gja La;Tamesis;Cartama;Antioquia;1151;05;05789;-75.6942778;5.7201667;ACT
26255020;CON;MET;CP;Sta Isabel;Valdivia;Valdivia;Antioquia;1200;05;05854;-75.4422778;7.1572778;ACT
23105030;CON;MET;CO;Vegachi;Vegachi;Volcan;Antioquia;1107;05;05858;-74.7965833;6.7741111;ACT
37055010;CON;MET;SP;Apto Arauca;Arauca;Arauca;Arauca;128;81;81001;-70.7380556;7.0694444;ACT
36025010;CON;MET;CO;Tame;Tame;Tame;Arauca;350;81;81794;-71.7450278;6.4561944;ACT
29035080;CON;MET;CP;Normal Manati;Manati;Cga Guajaro;Atlantico;10;08;08436;-74.9546389;10.4535833;ACT
29045020;CON;MET;SP;Apto E Cortissoz;Soledad;Magdalena;Atlantico;14;08;08758;-74.7797778;10.8833611;ACT
21205790;CON;MET;SP;Apto El Dorado;Bogota DC;Bogota;Bogota DC;2547;11;11001;-74.1506667;4.7055833;ACT
21205710;CON;MET;CO;Jardin Botanico;Bogota DC;Bogota;Bogota DC;2552;11;11001;-74.1026667;4.6693333;ACT
21205580;CON;MET;CO;Venado Oro Vivero;Bogota DC;Bogota;Bogota DC;2725;11;11001;-74.0615556;4.5983611;ACT
14015020;CON;MET;SP;Apto Rafael Nunez;Cartagena;Mar Caribe;Bolivar;2;13;13001;-75.5160278;10.4472500;ACT
29015020;CON;MET;AM;Carmen de Bolivar;El Carmen de Bolivar;Ay Alferez;Bolivar;152;13;13244;-75.1064167;9.7157500;ACT
29035110;CON;MET;CO;San Pablo;Maria La Baja;Ay Hondo;Bolivar;20;13;13442;-75.2586111;10.0431667;ACT
23205030;CON;MET;CO;Sta Rosa D Simiti;Santa Rosa del Sur;Qda Las Mercedes;Bolivar;650;13;13688;-74.0591667;7.9652778;ACT
25025020;CON;MET;CP;Monterrey Forestal;Zambrano;Magdalena;Bolivar;25;13;13894;-74.8350000;9.7352778;ACT
24035330;CON;MET;AM;Boavita;Boavita;Qda Ocalaya;Boyaca;2150;15;15097;-72.5787778;6.3261944;ACT
23125100;CON;MET;CP;Buenavista;Buenavista;Qda Negra;Boyaca;2200;15;15109;-73.9431111;5.5149167;ACT
35085050;CON;MET;CO;Campohermoso;Campohermoso;Lengupa;Boyaca;1300;15;15135;-73.1036667;5.0345000;ACT
24035310;CON;MET;CO;Chiscas;Chiscas;Chiscano;Boyaca;2350;15;15180;-72.5047222;6.5495278;ACT
24035120;CON;MET;AM;Surbata Bonza;Duitama;Surba;Boyaca;2485;15;15238;-73.0744722;5.8024444;ACT
24035070;CON;MET;CO;Guican;Guican;Nevado;Boyaca;2963;15;15332;-72.4091944;6.4634722;ACT
35075040;CON;MET;CP;Inst Agr Macanal;Macanal;Bata;Boyaca;1300;15;15425;-73.3166944;4.9410556;ACT
35085040;CON;MET;CO;Vivero El;Miraflores;Lengupa;Boyaca;1640;15;15455;-73.1447778;5.1925556;ACT
35075010;CON;MET;AM;Nuevo Colon;Nuevo Colon;Turmeque;Boyaca;2438;15;15494;-73.4565000;5.3538056;ACT
24035170;CON;MET;AM;Tunguavita;Paipa;Salitre;Boyaca;2470;15;15516;-73.1163611;5.7459167;ACT
35195050;CON;MET;CO;Corinto;Pajarito;Cusiana;Boyaca;1550;15;15518;-72.7172222;5.4072778;ACT
23125140;CON;MET;CO;Apto Furatena;Quipama;Minero;Boyaca;1250;15;15580;-74.1824167;5.5208333;ACT
35085020;CON;MET;CO;Rondon;Rondon;Mueche;Boyaca;2120;15;15621;-73.2036111;5.3584167;ACT
24015220;CON;MET;CP;Villa Carmen;Samaca;Gachaneca;Boyaca;2600;15;15646;-73.4957778;5.5116944;ACT
24015090;CON;MET;CO;Inst Agr Sta Sofia;Santa Sofia;Suarez;Boyaca;2300;15;15696;-73.6022778;5.7106667;ACT
35075020;CON;MET;CP;Sutatenza;Sutatenza;Garagoa;Boyaca;1930;15;15778;-73.4491667;5.0222778;ACT
24035040;CON;MET;CO;Copa La;Toca;Tuta;Boyaca;2700;15;15814;-73.2079444;5.5794444;ACT
24035130;CON;MET;CP;U P T C;Tunja;Chulo;Boyaca;2690;15;15001;-73.3552778;5.5535556;ACT
24015300;CON;MET;CP;Villa De Leiva;Villa de Leyva;Qda Tintales;Boyaca;2215;15;15407;-73.5439444;5.6558333;ACT
26155110;CON;MET;SP;Apto La Nubia;Manizales;Chinchina;Caldas;2058;17;17001;-75.4699444;5.0297500;ACT
44035020;CON;MET;CO;Apto G Artunduaga;Florencia;Hacha;Caqueta;244;18;18001;-75.5595556;1.5890556;ACT
44045010;CON;MET;CO;San Jose de Fragua;San Jose de Fragua;Fragua;Caqueta;320;18;18610;-75.9615000;1.3251389;ACT
44135010;CON;MET;CP;Araracuara;Solano;Caqueta;Caqueta;150;18;18756;-72.3819167;-0.6163611;ACT
44045020;CON;MET;CO;Valparaiso;Valparaiso;Pescado;Caqueta;270;18;18860;-75.7044722;1.1952500;ACT
35195030;CON;MET;CO;Aguazul;Aguazul;Unete;Casanare;380;85;85010;-72.5508889;5.1793333;ACT
35225020;CON;MET;CO;Modulos;Orocue;Cno San Miguel;Casanare;130;85;85230;-71.4330556;4.9104722;ACT
35195020;CON;MET;CO;Tauramena;Tauramena;Cusiana;Casanare;460;85;85410;-72.7503611;5.0208056;ACT
