CODIGO;TE;AÑO;DECADA;DIA;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
11045010;VD;1983;1;1;1.4;2.5;1.7;1.7;2.5;1.5;2;2.1;1.8;0.8;1.1;1.7
11045010;VD;1983;1;2;1.5;2.3;1.3;1.7;1.3;1.5;1.3;0.9;2;2.5;0.7;1.2
11045010;VD;1983;1;3;1.3;3.3;0.8;2.3;1.5;1.9;1.5;1.8;1.2;2.1;0.5;2.3
11045010;VD;1983;1;4;1.6;3.8;1.7;0.9;1.4;1.3;2.3;2.5;1.3;1.1;0.8;2
11045010;VD;1983;1;5;1.2;1.5;1.2;0.9;1;1.7;1.7;1.9;3;1.6;0.7;1.9
11045010;VD;1983;1;6;1.7;2;0.5;2.1;1.8;2.2;2;2;2;2.1;0.3;1.8
11045010;VD;1983;1;7;0.2;1.7;1.5;1.7;1.6;2.7;1.7;1.6;0.7;0.6;1.1;1.6
11045010;VD;1983;1;8;1;1.3;0.3;2.1;1.7;1.5;2.8;2.2;1.1;1.1;0.7;2.1
11045010;VD;1983;1;9;1;2.4;2.7;2.5;2.2;1.2;1.6;2.4;2.5;1.2;0.5;1.7
11045010;VD;1983;1;10;2.7;1.8;1.2;0.9;1.5;1.5;1.8;1.4;1.8;1.5;1.9;1.6
11045010;VD;1983;2;11;2.2;2.7;2;1.6;2.3;1.5;1.5;2.8;1;0.8;1;1.8
11045010;VD;1983;2;12;4.2;1.9;4.1;2;1.3;1.3;1.5;1.7;1.2;0.6;1.2;2.1
11045010;VD;1983;2;13;4.3;2.5;4;1.9;1.9;1.9;1.7;2.1;1.5;1.6;1.2;2
11045010;VD;1983;2;14;3;2.5;1.5;1.3;2.6;2;2.2;1.2;0.6;1;1.9;1.5
11045010;VD;1983;2;15;3.2;2;1.6;2.3;1.7;3;1.1;1.8;1.9;3.3;1.5;2.2
11045010;VD;1983;2;16;3.3;2.1;2.7;1.1;2;2.5;1.6;2.4;1.6;1.6;2.1;1.4
11045010;VD;1983;2;17;2.9;1.8;1.7;2.3;1.3;2;2.1;1.3;1.5;0.8;1.5;1.3
11045010;VD;1983;2;18;2.3;2.7;1;1.8;1.7;1.9;1.9;0.5;1.9;1.3;0.7;1.4
11045010;VD;1983;2;19;2.2;3.1;1.4;1.7;1.7;1.9;2.7;1.5;1.4;1.6;0.8;2
11045010;VD;1983;2;20;2.3;3.1;2.1;2.1;1.9;1.3;1.2;2.3;2.5;0.4;1.6;2.3
11045010;VD;1983;3;21;1;2.9;1.7;2.2;1.8;1.3;0.7;0.8;2.2;1;1.1;1.4
11045010;VD;1983;3;22;2.5;2.4;2;1.8;0.7;2.6;1.7;2.2;1.1;0.7;1.6;1.8
11045010;VD;1983;3;23;1.9;2.3;1.8;1;1.6;2.5;1.8;1.1;1.8;1.9;0.9;1.4
11045010;VD;1983;3;24;3.4;2.4;1.5;1.1;1;1.1;2;1.6;2.2;1.1;1.2;0.8
11045010;VD;1983;3;25;3.2;2.6;1.7;1.6;0.7;1.3;2.2;1.2;2.2;1.1;1.4;0.8
11045010;VD;1983;3;26;3.2;0.9;1.4;3.1;1.9;2.7;2;0.9;1;0.4;1.2;1.4
11045010;VD;1983;3;27;0.9;1.6;2;2;1.8;1.8;2;1.3;1.7;0.9;1.4;2
11045010;VD;1983;3;28;1.9;1.7;2;3.4;2.3;1.1;2.4;1.9;2;0.4;1.2;1.5
11045010;VD;1983;3;29;1.6;;2.2;2;1.2;2;2.8;1.9;1.8;1.4;1.9;0.8
11045010;VD;1983;3;30;2.4;;1.3;2.3;1;2;2.4;1.2;0.9;2.6;1.7;0.9
11045010;VD;1983;3;31;2.3;;1.6;;1.4;;2.7;2.6;;1.9;;0.6
11045010;VD;1984;1;1;1.2;2.4;1.5;;1.4;1;1.4;2.5;1.7;0.6;1.3;1.5
11045010;VD;1984;1;2;1.6;0.5;2.5;;2.3;1.8;1;1.8;0.7;1.4;2.3;0
11045010;VD;1984;1;3;1.3;1.2;0.3;;1.3;0.7;1.9;2.3;1.8;1.2;2.1;1.2
11045010;VD;1984;1;4;0.9;1.3;1.9;;0.6;1;1.8;0.9;0.8;0.8;1.9;0.5
11045010;VD;1984;1;5;1.5;1.2;1.4;;1.5;1;0.9;1.7;1.8;0.9;2;0.7
11045010;VD;1984;1;6;1.8;1.3;1.6;;0.9;2.8;0.7;1.3;2.3;1.6;2.5;1.1
11045010;VD;1984;1;7;1.9;2;1.1;;1.3;1.6;1;2.7;0.9;2.9;0.4;0.9
11045010;VD;1984;1;8;2;1.5;2.1;;1.7;1.6;1;2.5;2.6;3.1;1.4;1.2
11045010;VD;1984;1;9;1.5;1.5;0.3;;1.2;1.4;2.3;3.4;2.2;1.7;1.5;1.4
11045010;VD;1984;1;10;0.7;1.8;1.5;;0.4;0.6;1.4;2.8;0.8;2.5;1.6;2
11045010;VD;1984;2;11;2.1;1.4;2.6;;2;2.2;2.4;2.3;1.4;1.5;2.2;1
11045010;VD;1984;2;12;1.3;1.7;2.1;;0.8;1.9;2.7;1.7;2;1.8;1.8;1.6
11045010;VD;1984;2;13;2.6;1.1;3;;1.8;1.6;0.8;2.4;1;2.3;0.9;1.9
