codigo;mes;procio
11045010;enero;23.9
11115020;enero;18.8
12015020;enero;23.9
12015070;enero;23.6
12045010;enero;24.3
12045020;enero;24.5
13075010;enero;24.5
13085010;enero;24.2
13085030;enero;25.1
14015020;enero;23.1
15015050;enero;21.9
15015060;enero;10.7
15045010;enero;22.4
15065010;enero;20.9
15065130;enero;21.2
15075030;enero;22.5
15075060;enero;22.1
15085030;enero;21.9
16015010;enero;20.7
16015020;enero;10.0
16025010;enero;20.4
16025040;enero;23.0
16055060;enero;15.8
16055100;enero;17.4
17015010;enero;23.2
17025020;enero;22.7
21015030;enero;14.4
21055030;enero;12.8
21065040;enero;17.5
21115020;enero;20.6
21115100;enero;18.0
21125010;enero;17.7
21135030;enero;21.9
21145080;enero;16.3
21165010;enero;23.1
21185030;enero;22.4
21185040;enero;21.7
21205420;enero;9.2
21205580;enero;9.6
21205660;enero;20.5
21205670;enero;14.8
21205710;enero;11.8
21205740;enero;9.3
21205790;enero;9.1
21215080;enero;21.3
21245040;enero;19.2
23085030;enero;17.2
23085080;enero;19.8
23085110;enero;15.3
23085140;enero;19.7
23085200;enero;12.9
23105030;enero;19.8
23125060;enero;16.3
23125100;enero;13.5
23125120;enero;24.0
23125140;enero;19.0
23145020;enero;21.2
23155030;enero;22.8
23185010;enero;23.8
23195130;enero;18.2
23195180;enero;13.4
23205030;enero;20.2
24015090;enero;11.3
24015220;enero;10.1
24015250;enero;17.8
24015260;enero;18.2
24015280;enero;14.6
24015300;enero;11.5
24025020;enero;17.9
24025040;enero;14.5
24025050;enero;17.8
24035040;enero;9.1
24035070;enero;9.8
24035120;enero;9.1
24035130;enero;8.3
24035170;enero;9.0
24035260;enero;16.4
24035310;enero;9.4
24035330;enero;11.8
24055040;enero;19.6
25025020;enero;22.7
25025080;enero;22.7
25025150;enero;24.0
25025160;enero;24.8
25025170;enero;22.9
25025180;enero;24.0
25025190;enero;23.3
25025240;enero;26.3
25025270;enero;22.6
26025070;enero;6.8
26025090;enero;15.6
26025100;enero;15.9
26035030;enero;15.1
26055070;enero;18.6
26065020;enero;20.5
26075010;enero;18.9
26075040;enero;18.4
26105110;enero;19.6
26105140;enero;9.1
26105150;enero;19.2
26105160;enero;19.1
26105230;enero;19.4
26125060;enero;18.0
26125130;enero;16.2
26135040;enero;16.9
26135100;enero;19.0
26135160;enero;14.3
26155110;enero;13.7
26175030;enero;18.9
26185020;enero;12.5
26195030;enero;14.3
26255020;enero;19.4
27015070;enero;14.9
27015090;enero;17.0
27015110;enero;10.3
27015260;enero;15.2
28015070;enero;20.2
28025070;enero;20.3
28025090;enero;21.0
28035020;enero;21.1
28035030;enero;19.2
28035040;enero;21.6
29015020;enero;21.2
29035080;enero;24.4
29035110;enero;23.1
29045020;enero;22.7
29065080;enero;23.8
31095010;enero;23.2
32035010;enero;22.0
32065010;enero;20.2
32075040;enero;21.2
32075050;enero;20.3
32105070;enero;22.1
35025020;enero;20.8
35025060;enero;7.5
35035020;enero;19.6
35035070;enero;20.7
35045020;enero;21.1
35075010;enero;11.0
35075020;enero;13.7
35075040;enero;14.9
35085020;enero;13.9
35085040;enero;16.1
35085050;enero;18.7
35095110;enero;19.8
35105050;enero;21.3
35195020;enero;21.7
35195030;enero;21.1
35195050;enero;16.7
35215010;enero;19.7
35225020;enero;21.4
36025010;enero;22.9
37015020;enero;5.8
37055010;enero;21.1
44015010;enero;22.0
44015030;enero;8.1
44015040;enero;20.6
44035020;enero;21.9
44045010;enero;22.2
44045020;enero;22.7
44135010;enero;23.5
47015040;enero;13.8
47015100;enero;9.6
48015010;enero;23.9
51025010;enero;23.5
52025020;enero;13.2
52025050;enero;15.4
52025060;enero;21.1
52045020;enero;15.1
52045030;enero;13.1
52045040;enero;15.5
52055010;enero;8.2
52055020;enero;8.9
52055030;enero;16.2
52055040;enero;9.2
52055060;enero;16.4
56015010;enero;24.1
11045010;febrero;23.9
11115020;febrero;18.7
12015020;febrero;23.8
12015070;febrero;23.5
12045010;febrero;24.3
12045020;febrero;24.4
13075010;febrero;24.5
13085010;febrero;24.2
13085030;febrero;25.0
14015020;febrero;22.9
15015050;febrero;22.0
15015060;febrero;11.3
15045010;febrero;22.4
15065010;febrero;20.6
15065130;febrero;21.0
15075030;febrero;22.4
15075060;febrero;21.6
15085030;febrero;21.5
16015010;febrero;20.8
16015020;febrero;10.5
16025010;febrero;20.6
16025040;febrero;23.1
16055060;febrero;15.9
16055100;febrero;17.4
17015010;febrero;23.0
17025020;febrero;22.4
21015030;febrero;14.6
21055030;febrero;12.8
21065040;febrero;17.7
21115020;febrero;20.6
21115100;febrero;17.9
21125010;febrero;17.9
21135030;febrero;21.7
21145080;febrero;16.4
21165010;febrero;22.9
21185030;febrero;22.5
21185040;febrero;21.6
21205420;febrero;9.6
21205580;febrero;9.7
21205660;febrero;20.7
21205670;febrero;15.0
21205710;febrero;12.0
21205740;febrero;9.6
21205790;febrero;9.6
21215080;febrero;21.3
21245040;febrero;19.4
23085030;febrero;17.2
23085080;febrero;19.8
23085110;febrero;15.5
23085140;febrero;19.6
23085200;febrero;13.1
23105030;febrero;19.9
23125060;febrero;16.4
23125100;febrero;13.6
23125120;febrero;24.0
23125140;febrero;19.1
23145020;febrero;21.3
23155030;febrero;22.8
23185010;febrero;23.7
23195130;febrero;18.4
23195180;febrero;13.7
23205030;febrero;20.1
24015090;febrero;11.4
24015220;febrero;10.5
24015250;febrero;17.7
24015260;febrero;18.3
24015280;febrero;14.7
24015300;febrero;11.8
24025020;febrero;18.2
