hemisferio;latitud;ra;mes
N;70;0;enero
N;68;0;enero
N;66;0.2;enero
N;64;0.6;enero
N;62;0.9;enero
N;60;1.3;enero
N;58;1.8;enero
N;56;2.2;enero
N;54;2.7;enero
N;52;3.1;enero
N;50;3.6;enero
N;48;4.1;enero
N;46;46.1;enero
N;44;5.1;enero
N;42;5.6;enero
N;40;6.1;enero
N;38;6.6;enero
N;36;7.1;enero
N;34;7.6;enero
N;32;8.1;enero
N;30;8.6;enero
N;28;9.1;enero
N;26;9.6;enero
N;24;10;enero
N;22;10.5;enero
N;20;10.9;enero
N;18;11.4;enero
N;16;11.8;enero
N;14;12.2;enero
N;12;12.6;enero
N;10;13;enero
N;8;13.4;enero
N;6;13.8;enero
N;4;14.1;enero
N;2;14.4;enero
N;0;14.8;enero
S;70;16.9;enero
S;68;16.7;enero
S;66;16.7;enero
S;64;16.7;enero
S;62;16.8;enero
S;60;16.9;enero
S;58;17;enero
S;56;17.1;enero
S;54;17.2;enero
S;52;17.3;enero
S;50;17.4;enero
S;48;17.5;enero
S;46;17.6;enero
S;44;17.6;enero
S;42;17.7;enero
S;40;17.7;enero
S;38;17.7;enero
S;36;17.7;enero
S;34;17.7;enero
S;32;17.7;enero
S;30;17.6;enero
S;28;17.6;enero
S;26;17.5;enero
S;24;17.3;enero
S;22;17.2;enero
S;20;17.1;enero
S;18;16.9;enero
S;16;16.8;enero
S;14;16.6;enero
S;12;16.4;enero
S;10;16.1;enero
S;8;15.9;enero
S;6;15.6;enero
S;4;15.3;enero
S;2;15.1;enero
S;0;14.8;enero
N;70;1.1;febrero
N;68;1.5;febrero
N;66;2;febrero
N;64;2.4;febrero
N;62;2.9;febrero
N;60;3.4;febrero
N;58;3.9;febrero
N;56;4.4;febrero
N;54;4.9;febrero
N;52;5.4;febrero
N;50;5.9;febrero
N;48;6.4;febrero
N;46;6.9;febrero
N;44;7.3;febrero
N;42;7.8;febrero
N;40;8.3;febrero
N;38;8.8;febrero
N;36;9.2;febrero
N;34;9.7;febrero
N;32;10.1;febrero
N;30;10.5;febrero
N;28;10.9;febrero
N;26;11.3;febrero
N;24;11.8;febrero
N;22;12.1;febrero
N;20;12.5;febrero
N;18;12.9;febrero
N;16;13.2;febrero
N;14;13.5;febrero
N;12;13.8;febrero
N;10;14.1;febrero
N;8;14.4;febrero
N;6;14.6;febrero
N;4;14.9;febrero
N;2;15.1;febrero
N;0;15.3;febrero
S;70;11.7;febrero
S;68;12;febrero
S;66;12.2;febrero
S;64;12.6;febrero
S;62;12.9;febrero
S;60;13.2;febrero
S;58;13.5;febrero
S;56;13.8;febrero
S;54;14;febrero
S;52;14.3;febrero
S;50;14.5;febrero
S;48;14.8;febrero
S;46;15;febrero
S;44;15.2;febrero
S;42;15.4;febrero
S;40;15.6;febrero
S;38;15.7;febrero
S;36;15.9;febrero
S;34;16;febrero
S;32;16.1;febrero
S;30;16.2;febrero
S;28;16.2;febrero
S;26;16.3;febrero
S;24;16.3;febrero
S;22;16.4;febrero
S;20;16.3;febrero
S;18;16.3;febrero
S;16;16.3;febrero
S;14;16.2;febrero
S;12;16.2;febrero
S;10;16;febrero
S;8;15.9;febrero
S;6;15.8;febrero
S;4;15.6;febrero
S;2;15.5;febrero
S;0;15.3;febrero
N;70;4.2;marzo
N;68;4.8;marzo
N;66;5.3;marzo
N;64;5.8;marzo
N;62;6.3;marzo
N;60;6.8;marzo
N;58;7.2;marzo
N;56;7.7;marzo
N;54;8.2;marzo
N;52;8.6;marzo
N;50;9.1;marzo
N;48;9.5;marzo
N;46;9.9;marzo
N;44;10.3;marzo
N;42;10.7;marzo
N;40;11.1;marzo
N;38;11.5;marzo
N;36;11.8;marzo
N;34;12.2;marzo
N;32;12.5;marzo
N;30;12.8;marzo
N;28;13.1;marzo
N;26;13.4;marzo
N;24;13.7;marzo
N;22;13.9;marzo
N;20;14.2;marzo
N;18;14.4;marzo
N;16;14.6;marzo
N;14;14.7;marzo
N;12;14.9;marzo
N;10;15.1;marzo
N;8;15.2;marzo
N;6;15.3;marzo
N;4;15.3;marzo
N;2;15.4;marzo
N;0;15.5;marzo
S;70;6.4;marzo
S;68;6.9;marzo
S;66;7.4;marzo
S;64;7.9;marzo
S;62;8.3;marzo
S;60;8.8;marzo
S;58;9.2;marzo
S;56;9.6;marzo
S;54;10;marzo
S;52;10.4;marzo
S;50;10.9;marzo
S;48;11.2;marzo
S;46;11.6;marzo
S;44;12;marzo
S;42;12.3;marzo
S;40;12.6;marzo
S;38;12.9;marzo
S;36;13.2;marzo
S;34;13.5;marzo
S;32;13.8;marzo
S;30;14;marzo
S;28;14.2;marzo
S;26;14.4;marzo
S;24;14.6;marzo
S;22;14.8;marzo
S;20;14.9;marzo
S;18;15.1;marzo
S;16;15.2;marzo
S;14;15.3;marzo
S;12;15.4;marzo
S;10;15.4;marzo
S;8;15.5;marzo
S;6;15.5;marzo
S;4;15.5;marzo
S;2;15.5;marzo
S;0;15.5;marzo
N;70;9.4;abril
N;68;9.8;abril
N;66;10.1;abril
N;64;10.5;abril
N;62;10.9;abril
N;60;11.2;abril
N;58;11.6;abril
N;56;11.9;abril
N;54;12.2;abril
N;52;12.6;abril
N;50;12.9;abril
N;48;13.1;abril
N;46;13.4;abril
N;44;13.7;abril
N;42;13.9;abril
N;40;14.2;abril
N;38;14.4;abril
N;36;14.6;abril
N;34;14.7;abril
N;32;14.5;abril
N;30;15;abril
N;28;15.1;abril
N;26;15.3;abril
N;24;15.3;abril
N;22;15.4;abril
N;20;15.5;abril
N;18;15.5;abril
N;16;15.6;abril
N;14;15.6;abril
N;12;15.5;abril
N;10;15.5;abril
N;8;15.4;abril
N;6;15.3;abril
N;4;15.3;abril
N;2;15.1;abril
N;0;15;abril
S;70;2;abril
S;68;2.4;abril
