Hemisferio;Latitud;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
N;70;0.0;1.1;4.2;9.4;14.4;17.3;16.1;11.4;6.1;2.0;0.0;0.0
N;68;0.0;1.5;4.8;9.8;14.4;17.1;15.9;11.7;6.6;2.4;0.3;0.0
N;66;0.2;2.0;5.3;10.1;14.5;16.9;15.8;12.0;7.1;2.9;0.6;0.0
N;64;0.6;2.4;5.8;10.5;14.7;16.8;15.8;12.2;7.5;3.5;1.0;0.2
N;62;0.9;2.9;6.3;10.9;14.8;16.8;15.9;12.5;8.0;4.0;1.4;0.5
N;60;1.3;3.4;6.8;11.2;14.9;16.8;16.0;12.8;8.4;4.4;1.8;0.9
N;58;1.8;3.9;7.2;11.6;15.1;16.9;16.1;13.1;8.9;4.9;2.2;1.3
N;56;2.2;4.4;7.7;11.9;15.3;16.9;16.2;13.3;9.3;5.4;2.7;1.7
N;54;2.7;4.9;8.2;12.2;15.4;16.9;16.2;13.6;9.7;5.9;3.2;2.1
N;52;3.1;5.4;8.6;12.6;15.6;17.0;16.4;13.8;10.1;6.4;3.7;2.6
N;50;3.6;5.9;9.1;12.9;15.7;17.0;16.4;14.0;10.5;6.9;4.2;3.1
N;48;4.1;6.4;9.5;13.1;13.8;17.1;16.5;14.2;10.9;7.4;4.7;3.6
N;46;46.1;6.9;9.9;13.4;16.0;17.1;16.6;14.4;11.2;7.8;5.1;4.0
N;44;5.1;7.3;10.3;13.7;16.0;17.1;16.6;14.7;11.6;8.3;5.7;4.5
N;42;5.6;7.8;10.7;13.9;16.1;17.1;16.7;14.8;11.9;8.7;6.2;5.1
N;40;6.1;8.3;11.1;14.2;16.2;17.1;16.7;15.0;12.2;9.2;6.7;5.6
N;38;6.6;8.8;11.5;14.4;16.3;17.1;16.7;15.1;12.5;9.6;7.1;6.0
N;36;7.1;9.2;11.8;14.6;16.3;17.0;16.7;15.3;12.9;10.0;7.6;6.6
N;34;7.6;9.7;12.2;14.7;16.3;17.0;16.7;15.3;13.1;10.4;8.1;7.1
N;32;8.1;10.1;12.5;14.5;16.3;16.9;16.6;15.5;13.4;10.9;8.6;7.6
N;30;8.6;10.5;12.8;15.0;16.3;16.8;16.6;15.5;13.6;11.3;9.1;8.1
N;28;9.1;10.9;13.1;15.1;16.3;16.7;16.5;15.6;13.8;11.6;9.5;8.6
N;26;9.6;11.3;13.4;15.3;16.3;16.6;16.4;15.6;14.1;12.0;10.0;9.1
N;24;10.0;11.8;13.7;15.3;16.2;16.4;16.3;15.6;14.2;12.3;10.4;9.5
N;22;10.5;12.1;13.9;15.4;16.1;16.3;16.2;15.7;14.4;12.7;10.9;10.0
N;20;10.9;12.5;14.2;15.5;16.0;16.1;16.0;15.6;14.6;13.0;11.3;10.4
N;18;11.4;12.9;14.4;15.5;15.9;16.0;15.9;15.6;14.7;13.3;11.7;10.9
N;16;11.8;13.2;14.6;15.6;15.8;15.8;15.7;15.6;14.9;13.6;12.1;11.4
N;14;12.2;13.5;14.7;15.6;15.7;15.6;15.6;15.5;15.0;13.8;12.5;11.8
N;12;12.6;13.8;14.9;15.5;15.5;15.3;15.3;15.4;15.1;14.1;12.9;12.2
N;10;13.0;14.1;15.1;15.5;15.3;15.1;15.1;15.3;15.1;14.3;13.2;12.7
N;8;13.4;14.4;15.2;15.4;15.1;14.8;14.9;15.2;15.2;14.5;13.6;13.1
N;6;13.8;14.6;15.3;15.3;14.9;14.6;14.7;15.1;15.2;14.7;13.9;13.4
N;4;14.1;14.9;15.3;15.3;14.7;14.3;14.4;14.9;15.2;14.9;14.2;13.8
N;2;14.4;15.1;15.4;15.1;14.4;14.0;14.1;14.7;15.2;15.1;14.5;14.2
N;0;14.8;15.3;15.5;15.0;14.2;13.6;13.8;14.6;15.2;15.3;14.8;14.5
S;70;16.9;11.7;6.4;2.0;0.1;0.0;0.0;0.9;4.4;9.6;15.2;18.5
S;68;16.7;12.0;6.9;2.4;0.3;0.0;0.0;1.3;4.9;10.0;15.3;18.2
S;66;16.7;12.2;7.4;2.9;0.6;0.0;0.2;1.7;5.3;10.4;15.3;18.0
S;64;16.7;12.6;7.9;3.4;1.0;0.2;0.5;2.2;5.9;10.7;15.5;17.9
S;62;16.8;12.9;8.3;3.9;1.4;0.5;0.8;2.6;6.3;11.1;15.6;17.9
S;60;16.9;13.2;8.8;4.4;1.8;0.8;1.2;3.1;6.8;11.5;15.8;17.9
S;58;17.0;13.5;9.2;4.9;2.2;1.2;1.6;3.6;7.3;11.8;16.0;18.0
S;56;17.1;13.8;9.6;5.4;2.7;1.6;2.0;4.0;7.8;12.2;16.1;18.0
S;54;17.2;14.0;10.0;5.9;3.1;2.0;2.4;4.5;8.2;12.5;16.3;18.1
S;52;17.3;14.3;10.4;6.4;3.6;2.4;2.9;5.0;8.7;12.8;16.4;18.1
S;50;17.4;14.5;10.9;6.8;4.1;2.9;3.3;5.5;9.1;13.1;16.6;18.2
S;48;17.5;14.8;11.2;7.3;4.5;3.3;3.8;6.0;9.5;13.4;16.7;18.2
S;46;17.6;15.0;11.6;7.8;5.0;3.8;4.2;6.4;9.9;13.7;16.8;18.2
S;44;17.6;15.2;12.0;8.2;5.5;4.3;4.7;6.9;10.3;13.9;16.9;18.2
S;42;17.7;15.4;12.3;8.7;6.0;4.7;5.2;7.3;10.7;14.2;17.0;18.2
S;40;17.7;15.6;12.6;9.1;6.4;5.2;5.7;7.8;11.1;14.4;17.1;18.2
S;38;17.7;15.7;12.9;9.5;6.9;5.7;6.2;8.2;11.4;14.6;17.1;18.2
S;36;17.7;15.9;13.2;9.9;7.4;6.2;6.6;8.7;11.8;14.8;17.1;18.1
S;34;17.7;16.0;13.5;10.3;7.8;6.6;7.1;9.1;12.1;15.0;17.1;18.1
S;32;17.7;16.1;13.8;10.7;8.3;7.1;7.6;9.5;12.4;15.1;17.1;18.0
S;30;17.6;16.2;14.0;11.1;8.7;7.6;8.0;9.9;12.7;15.3;17.1;17.9
S;28;17.6;16.2;14.2;11.5;9.2;8.0;8.4;10.3;13.0;15.4;17.1;17.8
